"STATION","NAME","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-20",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-21",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-22",,,,,"0.02",",,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-23",,,,,"0.55",",,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-24",,,,,"0.01",",,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-25",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-26",,,,,"0.41",",,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-27",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-28",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-29",,,,,"0.00","T,,N",,,,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-30",,,,,"0.00",",,N","0.0",",,N",,,,,,
"US1ILKN0140","ALGONQUIN 1.3 SE, IL US","2023-12-31",,,,,"0.00","T,,N",,,,,,,,
"US1ILMCH009","ALGONQUIN 2.1 W, IL US","2023-12-17",,,,,"0.20",",,N",,,,,,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-01",,,,,"0.06",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-02",,,,,"0.33",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-03",,,,,"0.33",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-04",,,,,"0.09",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-05",,,,,"0.08",",,N","0.5",",,N","0.5",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-06",,,,,"0.03",",,N","0.0","T,,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-07",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-08",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-09",,,,,"0.47",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-10",,,,,"0.00","T,,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-11",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-12",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-13",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-14",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-15",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-16",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-17",,,,,"0.24",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-18",,,,,"0.01",",,N","0.0","T,,N","0.0","T,,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-19",,,,,"0.00","T,,N","0.0","T,,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-20",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-21",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-22",,,,,"0.01",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-23",,,,,"0.57",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-24",,,,,"0.01",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-25",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-26",,,,,"0.51",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-27",,,,,"0.00","T,,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-28",,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-29",,,,,"0.11",",,N","0.0","T,,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-30",,,,,"0.01",",,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH110","ALGONQUIN 1.4 WSW, IL US","2023-12-31",,,,,"0.00","T,,N","0.0",",,N","0.0",",,N",,,,
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-01",,,,,"0.02",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-02",,,,,"0.36",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-03",,,,,"0.23",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-04",,,,,"0.03",",,N","0.0","T,,N","0.0",",,N","0.0",",,N","0.0","T,,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-05",,,,,"0.08",",,N","0.5",",,N","0.5",",,N",,,,
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-06",,,,,"0.03",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-07",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-08",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-09",,,,,"0.11",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-10",,,,,"0.02",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-11",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-12",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-13",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-14",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-15",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-16",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-17",,,,,"0.25",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-18",,,,,"0.04",",,N","0.0","T,,N",,,,,,
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-19",,,,,"0.00","T,,N","0.0","T,,N",,,,,,
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-20",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-21",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-22",,,,,"0.01",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-23",,,,,"0.57",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-24",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-25",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-26",,,,,"0.98",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-27",,,,,"0.02",",,N","0.0","T,,N",,,,,,
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-28",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-29",,,,,"0.09",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-30",,,,,"0.02",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
"US1ILMCH043","ALGONQUIN 0.7 N, IL US","2023-12-31",,,,,"0.00",",,N","0.0",",,N","0.0",",,N","0.0",",,N","0.0",",,N"
